serial,ASIC test result,baseline_channel_0,baseline_channel_1,baseline_channel_2,baseline_channel_3,baseline_channel_4,baseline_channel_5,baseline_channel_6,baseline_channel_7,s-curve_halfmax_channel_0,s-curve_halfmax_channel_1,s-curve_halfmax_channel_2,s-curve_halfmax_channel_3,s-curve_halfmax_channel_4,s-curve_halfmax_channel_5,s-curve_halfmax_channel_6,s-curve_halfmax_channel_7,s-curve_sigma_channel_0,s-curve_sigma_channel_1,s-curve_sigma_channel_2,s-curve_sigma_channel_3,s-curve_sigma_channel_4,s-curve_sigma_channel_5,s-curve_sigma_channel_6,s-curve_sigma_channel_7,s-curve_chi2ndf_channel_0,s-curve_chi2ndf_channel_1,s-curve_chi2ndf_channel_2,s-curve_chi2ndf_channel_3,s-curve_chi2ndf_channel_4,s-curve_chi2ndf_channel_5,s-curve_chi2ndf_channel_6,s-curve_chi2ndf_channel_7,Test_passed_channel_0,Test_passed_channel_1,Test_passed_channel_2,Test_passed_channel_3,Test_passed_channel_4,Test_passed_channel_5,Test_passed_channel_6,Test_passed_channel_7
07196,channel 7 s-curve  out of range ,12.016129032258064,14.844447491306113,0.0,3.0,14.008525149190111,7.014229064613949,0.7644836272040302,nan,25.286976472812853,20.000000000545153,12.167420097993169,19.999999996843393,11.647621406181482,19.999999992592276,12.225173758737462,8.98359379781313,0.3964209687222989,1.000000006455208,0.3010624750093024,0.9999999995598078,0.18431145416139055,0.99999999445908,0.30289470060749646,0.03635603209385878,82.84914818647356,4.626902794977226e-22,3.764430557875373,6.821215076678504e-29,16.45683449552814,7.1079820016469505e-28,10.712517496121073,2.0197670623842471e-41,OK,OK,OK,OK,OK,OK,OK,s-curve fit out of range
07197,all channels OK,11.00452153576301,11.201694336650625,10.0,12.93701923076923,8.0,4.012607160867373,4.714285714285714,7.549625468164794,28.389565846960547,13.189571742086315,12.839538780533225,12.810430610654711,12.64729629195173,12.830487194821941,12.769275391039498,29.086725674573913,0.3876079966444408,0.3653674172894527,0.16868408166677162,0.18539884666304624,0.19016332290044985,0.20885305356557324,0.17158136191698703,0.4309165239748138,97.97023255663535,20.399011481969968,29.720814399583418,44.64024783628148,7.1895560770332825,46.581001076389285,30.161258006312575,112.75030695161489,OK,OK,OK,OK,OK,OK,OK,OK
07198,all channels OK,2.468671679197995,7.867932468492931,7.979568074076128,11.696132596685082,3.731382978723404,12.084745762711865,8.000158558177638,8.00040211782052,30.412154647843295,12.809757580917331,14.27771482257129,12.594685079908224,13.131804559923921,11.70137007491536,12.589541437703053,31.115186908024352,0.41196260031291015,0.2020902526432108,0.31125620574574353,0.22482605526734545,0.3137163484556915,0.23056886286143125,0.24293352113726469,0.5502482698565169,147.99714367099995,47.255118724863294,1.5835319397217809,11.9690242852556,4.138363378344029,18.53596689587363,16.285431508417613,174.37592242388027,OK,OK,OK,OK,OK,OK,OK,OK
07199,channel 0 s-curve failed channel 4 s-curve failed ,7.823245684298945,4.614848093328491,0.0,7.009637448370812,-0.9970414201183432,7.968620735591946,7.93588110403397,7.968849107899797,34.34519789321289,16.096014743444996,14.192608390362121,18.45273254940419,14.909637135539327,17.713916613070975,12.344308795848065,30.2468162409745,0.4774499186513841,0.3473663716068065,0.32626787325431944,0.25583160276901856,0.38932474328331995,0.2006658161472791,0.1726762270077763,0.48770282866069026,327.81165573792623,5.904669642582898,3.542998924890122,0.5814462278163536,829.8318894493491,3.695147039594842,0.17388830222328347,150.61982013570653,s-curve fit failed,OK,OK,OK,s-curve fit failed,OK,OK,OK
07200,channel 4 s-curve  out of range channel 7 s-curve failed ,8.525423728813559,4.674795384408963,5.2,4.0,nan,5.998220640569395,3.8947368421052633,6.9937750111160515,33.406716469442664,13.931114510795622,13.812035995319102,14.092554350169873,18.941831495794826,13.67766655785148,14.356055185003948,31.899037066003295,0.4502695571238427,0.2967315447625764,0.19812479391178955,0.32955793435693287,0.4294968802529654,0.22822917087734212,0.3432369232835569,0.39948880034036444,150.22591413710632,32.911072752571094,27.011861143369448,11.860697593344987,109.04857315810843,24.52187479155498,8.498873437878979,211.1368182815588,OK,OK,OK,OK,s-curve fit out of range,OK,OK,s-curve fit failed
07195,all channels OK,9.510288065843621,8.984477322338103,-1.0,3.0833333333333335,2.0,2.641804788213628,7.0,12.866117404737384,27.39744894487849,11.555733962691031,11.925800969543369,12.035901266448102,11.848250400353162,12.402684673915445,13.215212463478887,28.921464445792115,0.42055892928750466,0.229859838614319,0.23202784442864122,0.31405295329786703,0.1746443135113193,0.30559664603141623,0.2969172537305329,0.4593103309751392,105.39669645724673,15.401082765071028,21.337490835890843,9.422793427055897,32.774690296086185,4.688178739035792,2.336697447257065,140.25462486274407,OK,OK,OK,OK,OK,OK,OK,OK
07194,all channels OK,8.003504672897197,6.004607124841943,13.995353535353535,12.022364217252397,14.0,9.18074074074074,8.85423197492163,9.017903702416131,29.213780032572814,12.788548628194441,12.622297352917109,12.843158605559376,12.379878048419444,12.853653552344356,12.945013910685617,30.902422096989973,0.39850528049182826,0.1725044903520859,0.2106724550019493,0.18444366683146024,0.26643687570287927,0.21969996657010035,0.2725146217118503,0.40413976180735467,101.72025410733694,41.19076651962287,9.88265427872289,36.27636214125296,0.13349206163494048,43.952267427659606,22.4961053304387,184.8117010109965,OK,OK,OK,OK,OK,OK,OK,OK
07193,all channels OK,4.013706483152039,5.021743486563326,4.015658911884461,4.013713217297831,4.273702858161857,4.013591144988409,4.013589270483345,4.053347491605708,31.993726512531826,11.052759027953721,12.837525278382657,15.376330096792364,9.952098327731656,14.823974420398617,15.111679432164362,29.979104895111696,0.5068788261156988,0.30812253433333464,0.2543223495924425,0.4154129328579778,0.028574623882324793,0.5133312491659622,0.5277692758586783,0.38842358018488954,110.63850001272111,9.574535631979051,52.109711159779714,121.25702497208755,28.152173913043296,23.339130891763908,40.49883490506856,169.15532297202205,OK,OK,OK,OK,OK,OK,OK,OK
07138,all channels OK,7.601073345259392,8.137644953752464,0.0,13.904109589041095,6.833333333333333,10.007504690431519,3.802325581395349,2.004589129499498,29.16757183081621,13.475603900702861,12.698828433516034,12.279958699860122,11.963965592078884,12.624813101679834,12.648629432748931,29.9866543358163,0.39297207202899537,0.27351887208910797,0.18047685678084574,0.29429376400964014,0.2752494705145304,0.21295094327152395,0.21070376868254465,0.40693372198803285,103.90373704671357,17.728293106389554,7.981753336440269,25.9045461722187,27.602836726809606,9.671952516929922,12.894403838756286,156.00090876383933,OK,OK,OK,OK,OK,OK,OK,OK
07137,all channels OK,9.012221873650304,9.00215116926634,9.01138832845855,7.990033171312325,9.01138891663966,9.011388248734361,10.016203589538955,8.99549319576553,28.6887602685698,15.679339002366858,14.889530749206541,17.215018307776553,14.685442234306729,14.702757270495367,9.938673863088576,26.66026920648417,0.346717296400306,0.3496550175246476,0.20224892627521943,0.2967342138491081,0.19762547160631758,0.2348758191365328,0.32733362829864765,0.29334699907013806,175.29998292697547,3.7501284467973797,14.8279037052573,2.5435221195918856,5.170808480605235,7.864282116132282,2.940149969179736,147.70398006176165,OK,OK,OK,OK,OK,OK,OK,OK
