serial,ASIC test result,baseline_channel_0,baseline_channel_1,baseline_channel_2,baseline_channel_3,baseline_channel_4,baseline_channel_5,baseline_channel_6,baseline_channel_7,s-curve_halfmax_channel_0,s-curve_halfmax_channel_1,s-curve_halfmax_channel_2,s-curve_halfmax_channel_3,s-curve_halfmax_channel_4,s-curve_halfmax_channel_5,s-curve_halfmax_channel_6,s-curve_halfmax_channel_7,s-curve_sigma_channel_0,s-curve_sigma_channel_1,s-curve_sigma_channel_2,s-curve_sigma_channel_3,s-curve_sigma_channel_4,s-curve_sigma_channel_5,s-curve_sigma_channel_6,s-curve_sigma_channel_7,s-curve_chi2ndf_channel_0,s-curve_chi2ndf_channel_1,s-curve_chi2ndf_channel_2,s-curve_chi2ndf_channel_3,s-curve_chi2ndf_channel_4,s-curve_chi2ndf_channel_5,s-curve_chi2ndf_channel_6,s-curve_chi2ndf_channel_7,Test_passed_channel_0,Test_passed_channel_1,Test_passed_channel_2,Test_passed_channel_3,Test_passed_channel_4,Test_passed_channel_5,Test_passed_channel_6,Test_passed_channel_7
06461,all channels OK,2.9842247966477693,1.3942534506117228,8.0,5.034965034965035,0.0031887755102040817,3.0114876507754165,6.005822416302766,0.4423076923076923,29.4525240798248,12.715412620614249,12.844867738085219,13.018108409161085,13.029917963593888,13.295796648268563,13.902894696852272,30.310865301153267,0.4823204406434871,0.18138008552772597,0.21370594325904294,0.3203974048135868,0.3225936574489794,0.3361008674486443,0.2808046968507244,0.41004167772511974,117.90481837177452,34.96504096157732,40.981573571539,12.587861779489213,16.50790874682292,5.674682207498468,27.2313436288179,118.47072960077175,OK,OK,OK,OK,OK,OK,OK,OK
06462,all channels OK,4.9869281045751634,7.387363774944225,7.163577463471118,4.942622950819672,4.992452830188679,3.982832618025751,6.943204868154158,5.321799307958478,27.17689956126421,12.89954034496567,13.885621479303785,12.259197172304297,11.771373712724667,12.26227082464042,12.725614522557226,27.541378726505595,0.42002851178558115,0.26476696083697576,0.23366855153678778,0.29533847890653553,0.19843225680000615,0.2994931246426988,0.21224132888819805,0.4259087364103999,123.84639845101947,36.071334353457154,29.127218089180346,3.1758912313045284,19.387468600913493,1.0637270142726598,28.670144437375814,138.46357496846252,OK,OK,OK,OK,OK,OK,OK,OK
07209,channel 7 failed ,8.92962356792144,3.6230045423801767,-2.06993006993007,6.875,3.0,7.8320610687022905,7.92,15.994900127496813,28.873894850229078,12.723328459892366,13.290986636381115,12.451470796009325,12.228319262102389,12.631948059743104,12.830470133374135,28.43835741811447,0.44675395455811906,0.19018673727792873,0.3402716472257987,0.24977243676883715,0.28214719830351176,0.2080009106157522,0.18516971749879413,0.4152790000980436,182.4860666110093,34.37714795407825,9.16234431509845,2.0736738897915252,6.670403418975647,13.046169665526547,44.536032179065295,152.68191256616083,OK,OK,OK,OK,OK,OK,OK,no baseline
15254,all channels OK,3.959658421672556,6.119588266339054,5.995185694635488,10.0026525198939,3.981194690265487,4.036842105263158,4.192139737991266,7.980935657845228,28.355184041772155,13.690383634885881,12.272411981482453,12.796254079066857,12.020438594343547,12.54971961642319,13.195985518832469,27.56663976307605,0.41297418721748413,0.22488640342776767,0.2829915466589906,0.1830150998167092,0.2911747040014859,0.2312413018200333,0.30581634592037804,0.3161574704325487,158.02643823989575,39.03940538930365,1.6678164584485342,19.64481358049193,11.797270995595932,2.697212458688359,2.138701085858157,166.10095568033142,OK,OK,OK,OK,OK,OK,OK,OK
15255,all channels OK,4.900703674745896,5.012335961573961,1.9698340874811464,2.996415770609319,8.983168891468368,-2.005657708628006,-0.5466666666666666,12.515937731653077,28.6500491198001,13.985934992556492,12.11400972504102,11.887525472211063,11.874240703449331,12.577760253704088,13.576273069155652,28.90203339121109,0.3411177876668726,0.30306528764124946,0.2990865639753198,0.21683748119007007,0.2072425222327843,0.2330852646684995,0.2512042464590727,0.3840481819766889,156.3515982636547,13.557872305990909,3.4895112301173894,25.139405907111623,25.99479326011705,7.104422011182451,21.755602486644598,186.39976097832678,OK,OK,OK,OK,OK,OK,OK,OK
15151,all channels OK,-0.2228177641653905,4.0147850507861085,-4.032786885245901,-0.43010752688172044,4.0,1.9922630560928434,11.81653042688465,6.887372013651877,30.25476476943368,13.843717443644525,12.887027051897832,13.520560572045925,12.754883522173914,12.300568168943572,13.254477896610997,28.571974559145765,0.4346797228700683,0.26638764158403444,0.23160163209490803,0.2602667057613191,0.18748395385950234,0.27664617485815735,0.3464995670491479,0.33559210446184695,160.51293243191338,39.52541900334064,30.23204575948586,5.516034507687563,21.724677422607087,0.27100354869679516,7.473875119516354,175.085977853947,OK,OK,OK,OK,OK,OK,OK,OK
15152,all channels OK,8.221476510067115,7.524276263218536,4.028169014084507,2.987905442550852,9.010309278350515,8.0,2.9682539682539684,8.266666666666667,27.774779245065023,12.966249925606071,11.85278241667839,11.691211282983282,11.864373683686969,11.875197457180848,11.851731299760235,27.696047225710362,0.2937298299352771,0.3096170871622289,0.17482814395877022,0.17148862632474854,0.20112524564957956,0.18051538808966233,0.15859265913231305,0.29963958135191726,189.1268567281592,20.593578708719612,32.95099201271639,4.555205690821594,38.76646795989568,26.662835615794396,29.657195407364764,172.31915425725293,OK,OK,OK,OK,OK,OK,OK,OK
15153,all channels OK,9.174447174447174,-1.1419944960033936,3.01294498381877,2.4893617021276597,9.71375464684015,3.0,-2.991718426501035,4.101783840503672,27.00257843339619,13.342641249001032,12.24876827913021,11.760628104224768,11.812395323597803,12.221068175793263,13.667333893935208,27.38578331760896,0.36867392007775784,0.30251089230341643,0.28994783567436333,0.15596527511631517,0.1536192517441644,0.3113044998074156,0.2339437172366157,0.4256479329129122,131.0172068219236,6.539199609584396,2.6412318344751884,7.927766976515992,14.178916440367761,1.5080900663914083,20.047921658961005,138.8216942747826,OK,OK,OK,OK,OK,OK,OK,OK
15154,all channels OK,-1.1571428571428573,4.195023846514354,12.99748743718593,3.8421052631578947,5.042253521126761,8.99273607748184,2.998444790046656,0.007595599790466213,32.798790697141264,13.767518525550916,11.885936796337054,12.131410110832801,12.594421239693093,12.115851821572361,12.577510762325304,31.23794962674352,0.4151655902039983,0.2831190878538574,0.20621253765902173,0.30393804955926973,0.23262968078359575,0.31921595346404735,0.2310225551116694,0.43858415150132357,194.37432977739826,23.39699704825437,25.60505855879157,3.925811447764662,11.711092415222865,4.038240887406062,15.236040261053525,139.89812567250613,OK,OK,OK,OK,OK,OK,OK,OK
15155,channel 1 s-curve failed ,4.515715948777649,4.485069674850696,3.180354267310789,6.835051546391752,2.9901960784313726,3.005307735742518,5.0,7.68886462882096,29.09163017543281,28.98543628650401,13.563530993381452,12.074205494718845,11.85431269707526,12.587270047594709,12.873616786582325,28.559181085674663,0.4111959973450175,0.554172165146694,0.26362525314717655,0.3021365875429659,0.1824778833796552,0.21151496265959993,0.22845314245241377,0.4047406595177611,131.13385227901196,253.90479100312479,5.765100919633439,4.599546045890529,15.498011437019318,9.14651463369087,45.93217416720474,163.62313926768613,OK,s-curve fit failed,OK,OK,OK,OK,OK,OK
15160,channel 1 failed ,8.528443817583451,16.0,7.971153846153846,3.8344827586206898,3.98744769874477,1.47,8.318101933216168,13.031151419558359,28.76132709197178,11.958701935830554,11.864930731220767,12.260793309494689,11.745586103444998,12.492084643075414,13.01759554336572,29.7249426787611,0.3425125426881188,0.3062737993504061,0.23780670696259754,0.33009140367687545,0.1984572010424613,0.26170395528834817,0.3128370867533567,0.3734013294390898,169.48844944333857,22.466096048256983,35.6420795268209,3.1087422702507914,20.471542685600376,6.097323333013578,10.794126109913996,169.2705226574171,OK,no baseline,OK,OK,OK,OK,OK,OK
15159,all channels OK,11.773964131106988,7.388914752311365,7.0,11.942622950819672,5.0426829268292686,5.339805825242719,3.4971098265895955,2.8649789029535864,29.88879761802272,14.511844607749147,13.396518525316722,12.912497339120264,13.364444662857354,13.462503912117635,13.843899203108801,30.03122070715584,0.36718921559956835,0.3362815503820346,0.267461925047983,0.2417526277239596,0.2764398591181497,0.2572406780030635,0.18336432242578907,0.4020728096491677,158.81751427620645,3.7519816163423374,2.2650058554583765,26.31410109933652,0.5804531220072802,4.658278145410354,58.084507341791074,118.77374790221488,OK,OK,OK,OK,OK,OK,OK,OK
